id,name,album,artists,url
620,First Breath,First Breath,Sara Landry,https://i.scdn.co/image/ab67616d00001e025453e0f64291982781126b69
621,Lunar,Lunar,Basswell,https://i.scdn.co/image/ab67616d00001e026af8cacd16a586f7b89f7208
622,Into the Dark,Into the Dark,Karashnikov,https://i.scdn.co/image/ab67616d00001e02cf5e122846eee818b0da52f1
625,No Sleep,No Sleep,Sara Landry,https://i.scdn.co/image/ab67616d00001e02ffc82577c594aad2c602b18c
626,Spirit Of The Pharao,Spirit Of The Pharao,Azulo,https://i.scdn.co/image/ab67616d00001e02923d5fab58d1aa5ec7d60553
627,ADHD,Incoming,Sara Landry,https://i.scdn.co/image/ab67616d00001e02929596d53c36cbc1a78e20a1
628,STOTENPAAL,VIEZE BAAP,Vieze Asbak,https://i.scdn.co/image/ab67616d00001e02fbeaae6de1213f74b903079a
629,So Yeah  So,Lessons That We Swear to Keep,Free Throw,https://i.scdn.co/image/ab67616d00001e02d8203e846298d87bde1606bc
630,BAHAMAS,COLD LONER'S REVENGE,Jaywill,https://i.scdn.co/image/ab67616d00001e0285f1df4f61701e75021c4b2f
631,Greed IV,Corruption,Vendex,https://i.scdn.co/image/ab67616d00001e027e1a7cbfe6c3eb920aeab41a
632,L'ARMÉE DES RATS,TTMS  Vol. 3,Ratu$,https://i.scdn.co/image/ab67616d00001e023e403d466a78561004b8d98f
642,OFFBEATLOVE,La lune est belle  n'est-ce pas ?,Chendj',https://i.scdn.co/image/ab67616d00001e02a179c3af6cc8f42aa8d197b2
650,Ice Jacking,Hardeur contemporain,Tedax Max,https://i.scdn.co/image/ab67616d00001e02f650d047fd242bf07b699001
660,SHE LIT,SHE LIT,J9ueve,https://i.scdn.co/image/ab67616d00001e0251aaf0f1d405221213765dd2
661,SACEM,Elixir vol.2,Matou,https://i.scdn.co/image/ab67616d00001e0238f1db281375feb006b9a4cc
662,Je ne dors plus,Les points sur L'Haÿ,Bob Marlich,https://i.scdn.co/image/ab67616d00001e024f3dc4650b537273e95e13bb
676,Kyrie Irving,Kyrie Irving,Osirus Jack,https://i.scdn.co/image/ab67616d00001e024b8b98a4decd30fd13bc14b5
677,Ignition,Ignition,moduz,https://i.scdn.co/image/ab67616d00001e0285b4e2a9362451b773d76bdf
678,She Puked In My Drink,She Puked In My Drink,Stan Christ,https://i.scdn.co/image/ab67616d00001e027e316137c4a5c3bf43c497a9
679,SCREECHMASTER,SCREECHMASTER,Basswell,https://i.scdn.co/image/ab67616d00001e02587722f2391ca173af511f80
680,Russian Roulette,Russian Roulette,Karashnikov,https://i.scdn.co/image/ab67616d00001e021356a1bc5df69706441e19ea
681,V Inferno,Talisman Of Aranoch,Vendex,https://i.scdn.co/image/ab67616d00001e02b5db6ff77245e7538020be43
682,Acid Error - Original Mix,Combined Forces,Stan Christ,https://i.scdn.co/image/ab67616d00001e027b9c4832b302f838b5b129ae
683,BENI,HORIZON 25,B.B. Jacques,https://i.scdn.co/image/ab67616d00001e02ee5a12c3f980e718ac91a0ed
684,Radeau,Pacifique,Disiz,https://i.scdn.co/image/ab67616d00001e0212c59264bf24b263b27b8dc7
685,L'oiseau rare,Echecs positifs,Josman,https://i.scdn.co/image/ab67616d00001e02382f1f435ef90dae8c90d541
686,Miskine,Transe-lucide,Disiz,https://i.scdn.co/image/ab67616d00001e0266c9518e4ef63d03c7b85e53
687,Zinée club,Cobalt,Zinée,https://i.scdn.co/image/ab67616d00001e027af412565da017a5db0c9247
688,Edge of Infinity,Edge of Infinity,moduz,https://i.scdn.co/image/ab67616d00001e024e82cfe133b0a7517090384e
689,Techmozart,Techmozart,Vieze Asbak,https://i.scdn.co/image/ab67616d00001e027ba17aa1c9ca094f9ef0b558
690,Flaws And Sins,Death Race For Love (Bonus Track Version),Juice WRLD,https://i.scdn.co/image/ab67616d00001e028b27d35aa2c6dcf99895d664
